,num_characters,words_count,num_locations,us_viewers_in_millions,views,imdb_votes,imdb_rating,main_character_Bart Simpson,main_character_Else,main_character_Homer Simpson,main_character_Lisa Simpson,main_character_Marge Simpson,main_location_Elsewhere,main_location_Moe's Tavern,main_location_Simpson Home,main_location_Springfield Elementary School,main_location_Springfield Nuclear Power Plant
0,41,2522.0,29,30.3,50816.0,1511.0,7.4,0,0,1,0,0,1,0,0,0,0
1,34,2789.0,16,30.4,62561.0,1716.0,8.3,0,1,0,0,0,1,0,0,0,0
2,28,2647.0,19,33.6,59575.0,1638.0,8.2,1,0,0,0,0,1,0,0,0,0
3,29,2765.0,15,26.1,64959.0,1457.0,8.1,0,1,0,0,0,0,0,1,0,0
4,15,2689.0,14,25.4,50691.0,1366.0,8.0,0,0,1,0,0,1,0,0,0,0
5,33,2140.0,20,26.2,57605.0,1522.0,8.4,0,0,1,0,0,1,0,0,0,0
6,20,2816.0,16,24.8,56486.0,1340.0,7.8,0,0,1,0,0,1,0,0,0,0
7,46,2888.0,11,26.2,58277.0,1329.0,8.0,0,0,1,0,0,0,0,1,0,0
8,28,2919.0,17,26.8,47426.0,1413.0,8.2,0,0,1,0,0,1,0,0,0,0
9,28,2701.0,20,21.2,44331.0,1243.0,7.6,0,1,0,0,0,1,0,0,0,0
10,23,3067.0,8,17.7,52770.0,1684.0,8.5,0,1,0,0,0,0,0,0,1,0
11,20,2841.0,17,17.3,52829.0,1223.0,8.0,0,0,1,0,0,0,0,1,0,0
12,53,2579.0,29,20.2,52098.0,1274.0,7.7,0,0,1,0,0,0,0,1,0,0
13,43,2499.0,28,20.8,64342.0,1446.0,8.7,0,1,0,0,0,0,0,1,0,0
14,32,2764.0,30,20.2,45586.0,1262.0,7.7,0,1,0,0,0,0,0,1,0,0
15,31,2602.0,9,24.7,55808.0,1194.0,7.9,0,0,1,0,0,0,0,1,0,0
16,28,2632.0,11,21.1,55987.0,1291.0,8.2,0,1,0,0,0,0,0,0,0,1
17,55,2317.0,11,24.2,58919.0,1365.0,8.5,1,0,0,0,0,0,0,1,0,0
18,32,2596.0,10,20.5,53123.0,1272.0,8.3,0,0,1,0,0,0,0,1,0,0
19,38,2321.0,27,23.7,61508.0,1201.0,8.2,0,1,0,0,0,0,0,0,1,0
20,36,2411.0,21,25.5,46901.0,1233.0,7.9,0,0,1,0,0,0,0,1,0,0
21,33,2419.0,17,19.5,48058.0,1160.0,7.8,1,0,0,0,0,0,0,0,1,0
22,42,2338.0,25,21.8,67081.0,1414.0,8.4,1,0,0,0,0,0,0,1,0,0
23,26,2045.0,14,20.1,55740.0,1293.0,8.2,0,0,1,0,0,0,0,1,0,0
24,34,2180.0,18,28.6,62070.0,1350.0,8.5,0,0,1,0,0,0,0,1,0,0
25,46,1991.0,26,24.5,56396.0,1153.0,8.0,0,1,0,0,0,0,0,1,0,0
26,27,2239.0,23,27.6,57793.0,1638.0,7.9,0,0,1,0,0,1,0,0,0,0
27,28,2763.0,26,24.2,50206.0,1687.0,8.8,0,0,1,0,0,0,0,1,0,0
28,62,2147.0,22,17.3,68692.0,1080.0,7.7,0,1,0,0,0,0,0,1,0,0
29,56,2074.0,24,19.9,58390.0,1416.0,8.4,0,0,1,0,0,0,0,1,0,0
30,41,2581.0,17,18.1,64802.0,1476.0,8.6,0,0,1,0,0,0,0,1,0,0
31,45,2497.0,32,21.7,53490.0,1132.0,8.0,0,0,1,0,0,0,0,1,0,0
32,42,2112.0,28,20.1,83238.0,1270.0,8.7,0,0,1,0,0,1,0,0,0,0
33,37,2352.0,19,20.1,74673.0,1202.0,8.2,0,0,1,0,0,0,0,1,0,0
34,43,2405.0,22,20.0,66267.0,1123.0,8.1,1,0,0,0,0,0,0,1,0,0
35,48,2693.0,19,20.5,61715.0,1187.0,8.2,0,0,0,1,0,0,0,1,0,0
36,42,2417.0,18,17.0,63427.0,1116.0,7.9,0,0,1,0,0,0,0,1,0,0
37,36,2395.0,16,15.1,59503.0,1014.0,7.5,0,1,0,0,0,0,0,1,0,0
38,39,1949.0,20,15.1,65126.0,1330.0,8.6,1,0,0,0,0,1,0,0,0,0
39,42,2073.0,30,14.8,72722.0,1277.0,8.5,0,0,0,0,1,0,0,1,0,0
40,32,2330.0,24,17.9,63564.0,1236.0,8.4,0,0,1,0,0,1,0,0,0,0
41,36,2524.0,24,15.6,61569.0,1100.0,7.8,0,0,1,0,0,1,0,0,0,0
42,31,2193.0,12,17.3,63051.0,1284.0,8.5,0,0,1,0,0,0,0,1,0,0
43,39,2396.0,20,17.6,73123.0,1254.0,8.5,0,0,1,0,0,1,0,0,0,0
44,28,2789.0,22,18.9,60599.0,1006.0,7.9,0,0,1,0,0,1,0,0,0,0
45,24,2197.0,23,11.6,62323.0,1051.0,8.1,0,1,0,0,0,1,0,0,0,0
46,41,2391.0,28,12.6,56001.0,1084.0,8.3,0,0,0,1,0,1,0,0,0,0
47,39,2403.0,23,13.1,70698.0,1285.0,8.6,1,0,0,0,0,0,0,1,0,0
48,47,2523.0,26,15.7,62390.0,1172.0,8.3,1,0,0,0,0,0,0,1,0,0
